"","code"
"294","20191220PHI"
"295","20191220ATL"
"296","20191220MEM"
"297","20191220MIL"
"298","20191220SAC"
"299","20191230CLE"
"300","20191230WAS"
"301","20191230NOP"
"302","20191230TOR"
"303","20191230SAS"
"304","20191230DEN"
"305","20191230LAC"
"306","20191240CHO"
"307","20191240DET"
"308","20191240ORL"
"309","20191240ATL"
"310","20191240BOS"
"311","20191240CHI"
"312","20191240OKC"
"313","20191240DAL"
"314","20191240UTA"
"315","20191240POR"
"316","20191250WAS"
"317","20191250NYK"
"318","20191250TOR"
"319","20191250NOP"
"320","20191260CHO"
"321","20191260CLE"
"322","20191260DET"
"323","20191260BOS"
"324","20191260CHI"
"325","20191260MIA"
"326","20191260OKC"
"327","20191260MIL"
"328","20191260SAS"
"329","20191260POR"
"330","20191270DAL"
"331","20191270NYK"
"332","20191270PHI"
"333","20191270HOU"
"334","20191270UTA"
"335","20191280BRK"
"336","20191280CHO"
"337","20191280MIA"
"338","20191280PHI"
"339","20191280WAS"
"340","20191280DAL"
"341","20191280POR"
"342","20191280LAL"
"343","20191290IND"
"344","20191290BOS"
"345","20191290CHI"
"346","20191290HOU"
"347","20191290MIL"
"348","20191290NOP"
"349","20191290PHO"
"350","20191290UTA"
"351","20191290GSW"
"352","201912100CHO"
"353","201912100MIA"
"354","201912100PHI"
"355","201912100POR"
"356","201912110CLE"
"357","201912110IND"
"358","201912110ORL"
"359","201912110TOR"
"360","201912110BRK"
"361","201912110CHI"
"362","201912110MIN"
"363","201912110PHO"
"364","201912110MIL"
"365","201912110SAC"
"366","201912110GSW"
"367","201912120BOS"
"368","201912120SAS"
"369","201912120DET"
"370","201912120DEN"
"371","201912130MIA"
"372","201912130ORL"
"373","201912130PHI"
"374","201912130ATL"
"375","201912130CHI"
"376","201912130MEM"
"377","201912130UTA"
"378","201912130MIN"
"379","201912130SAC"
"380","201912140PHO"
"381","201912140TOR"
"382","201912140CHI"
"383","201912140MEM"
"384","201912140DAL"
"385","201912140MIL"
"386","201912140DEN"
"387","201912140HOU"
"388","201912150NOP"
"389","201912150IND"
"390","201912150ATL"
"391","201912150BRK"
"392","201912150DEN"
"393","201912150GSW"
"394","201912160DET"
"395","201912160TOR"
"396","201912160HOU"
"397","201912160MEM"
"398","201912160MIL"
"399","201912160OKC"
"400","201912160PHO"
"401","201912170CHO"
"402","201912170IND"
"403","201912170NYK"
"404","201912170NOP"
"405","201912170UTA"
"406","201912170LAC"
"407","201912180CLE"
"408","201912180DET"
"409","201912180PHI"
"410","201912180WAS"
"411","201912180MIN"
"412","201912180OKC"
"413","201912180DEN"
"414","201912180DAL"
"415","201912180POR"
"416","201912190ATL"
"417","201912190MIL"
"418","201912190SAS"
"419","201912190LAC"
"420","201912200CLE"
"421","201912200IND"
"422","201912200BOS"
"423","201912200TOR"
"424","201912200MIA"
"425","201912200OKC"
"426","201912200PHI"
"427","201912200DEN"
"428","201912200POR"
"429","201912200GSW"
"430","201912210CHO"
"431","201912210BRK"
"432","201912210DET"
"433","201912210PHI"
"434","201912210NYK"
"435","201912210MEM"
"436","201912210SAS"
"437","201912210PHO"
"438","201912210POR"
"439","201912220TOR"
"440","201912220BOS"
"441","201912220MIL"
"442","201912220OKC"
"443","201912220LAL"
"444","201912230CLE"
"445","201912230DET"
"446","201912230IND"
"447","201912230NYK"
"448","201912230ORL"
"449","201912230MIA"
"450","201912230MEM"
"451","201912230PHO"
"452","201912230POR"
"453","201912230SAC"
"454","201912230GSW"
"455","201912250TOR"
"456","201912250PHI"
"457","201912250GSW"
"458","201912250LAL"
"459","201912250DEN"
"460","201912260DET"
"461","201912260BRK"
"462","201912260DAL"
"463","201912260OKC"
"464","201912260SAC"
"465","201912260UTA"
"466","201912270BOS"
"467","201912270CHO"
"468","201912270ORL"
"469","201912270ATL"
"470","201912270MIA"
"471","201912270GSW"
"472","201912280DEN"
"473","201912280BOS"
"474","201912280NOP"
"475","201912280CHI"
"476","201912280HOU"
"477","201912280MIA"
"478","201912280MIN"
"479","201912280WAS"
"480","201912280GSW"
"481","201912280MIL"
"482","201912280SAS"
"483","201912280SAC"
"484","201912280POR"
"485","201912280LAC"
"486","201912290TOR"
"487","201912290DEN"
"488","201912290MEM"
"489","201912290NOP"
"490","201912290LAL"
"491","201912300ORL"
"492","201912300WAS"
"493","201912300CHI"
"494","201912300MIN"
"495","201912300UTA"
"496","201912300POR"
"497","201912310CHO"
"498","201912310IND"
"499","201912310SAC"
"500","201912310HOU"
"501","201912310SAS"
"502","201912310TOR"
"503","201912310OKC"
"504","2020110WAS"
"505","2020110NYK"
"506","2020110MIL"
"507","2020110LAL"
"508","2020120CLE"
"509","2020120IND"
"510","2020120MIA"
"511","2020120CHI"
"512","2020120MIN"
"513","2020120DAL"
"514","2020120SAS"
