"","year","month","day","start","visitor","pts_visitor","home","pts_home","attend","acr","zer","code"
"230",2019,"11","23","7:30p","Miami Heat",86,"Philadelphia 76ers",113,21.017,"PHI",0,"201911230PHI"
"231",2019,"11","23","8:00p","Portland Trail Blazers",104,"Cleveland Cavaliers",110,19.432,"CLE",0,"201911230CLE"
"232",2019,"11","23","8:00p","Los Angeles Lakers",109,"Memphis Grizzlies",108,17.794,"MEM",0,"201911230MEM"
"233",2019,"11","23","8:30p","Detroit Pistons",90,"Milwaukee Bucks",104,17.585,"MIL",0,"201911230MIL"
"234",2019,"11","23","9:00p","New Orleans Pelicans",120,"Utah Jazz",128,18.306,"UTA",0,"201911230UTA"
"235",2019,"11","24","3:30p","Dallas Mavericks",137,"Houston Rockets",123,18.055,"HOU",0,"201911240HOU"
"236",2019,"11","24","6:00p","Brooklyn Nets",103,"New York Knicks",101,18.77,"NYK",0,"201911240NYK"
"237",2019,"11","24","6:00p","Sacramento Kings",113,"Washington Wizards",106,15.885,"WAS",0,"201911240WAS"
"238",2019,"11","24","8:00p","Phoenix Suns",104,"Denver Nuggets",116,19.52,"DEN",0,"201911240DEN"
"239",2019,"11","24","9:00p","New Orleans Pelicans",109,"Los Angeles Clippers",134,19.068,"LAC",0,"201911240LAC"
"240",2019,"11","25","7:00p","Brooklyn Nets",108,"Cleveland Cavaliers",106,17.143,"CLE",0,"201911250CLE"
"241",2019,"11","25","7:00p","Orlando Magic",88,"Detroit Pistons",103,14.695,"DET",0,"201911250DET"
"242",2019,"11","25","7:00p","Memphis Grizzlies",114,"Indiana Pacers",126,15.141,"IND",0,"201911250IND"
"243",2019,"11","25","7:30p","Minnesota Timberwolves",125,"Atlanta Hawks",113,16.218,"ATL",0,"201911250ATL"
"244",2019,"11","25","7:30p","Sacramento Kings",102,"Boston Celtics",103,19.156,"BOS",0,"201911250BOS"
"245",2019,"11","25","7:30p","Charlotte Hornets",100,"Miami Heat",117,19.6,"MIA",0,"201911250MIA"
"246",2019,"11","25","7:30p","Philadelphia 76ers",96,"Toronto Raptors",101,19.8,"TOR",0,"201911250TOR"
"247",2019,"11","25","8:00p","Portland Trail Blazers",117,"Chicago Bulls",94,18.776,"CHI",0,"201911250CHI"
"248",2019,"11","25","8:00p","Utah Jazz",118,"Milwaukee Bucks",122,17.385,"MIL",0,"201911250MIL"
"249",2019,"11","25","8:30p","Los Angeles Lakers",114,"San Antonio Spurs",104,18.498,"SAS",0,"201911250SAS"
"250",2019,"11","25","10:30p","Oklahoma City Thunder",100,"Golden State Warriors",97,18.064,"GSW",0,"201911250GSW"
"251",2019,"11","26","8:30p","Los Angeles Clippers",114,"Dallas Mavericks",99,20.407,"DAL",0,"201911260DAL"
"252",2019,"11","26","9:00p","Washington Wizards",104,"Denver Nuggets",117,18.673,"DEN",0,"201911260DEN"
"253",2019,"11","27","7:00p","Brooklyn Nets",110,"Boston Celtics",121,19.156,"BOS",0,"201911270BOS"
"254",2019,"11","27","7:00p","Detroit Pistons",101,"Charlotte Hornets",102,15.535,"CHO",0,"201911270CHO"
"255",2019,"11","27","7:00p","Orlando Magic",116,"Cleveland Cavaliers",104,17.712,"CLE",0,"201911270CLE"
"256",2019,"11","27","7:00p","Utah Jazz",102,"Indiana Pacers",121,17.027,"IND",0,"201911270IND"
"257",2019,"11","27","7:00p","Sacramento Kings",91,"Philadelphia 76ers",97,20.592,"PHI",0,"201911270PHI"
"258",2019,"11","27","7:30p","New York Knicks",98,"Toronto Raptors",126,19.8,"TOR",0,"201911270TOR"
"259",2019,"11","27","8:00p","Miami Heat",108,"Houston Rockets",117,18.055,"HOU",0,"201911270HOU"
"260",2019,"11","27","8:00p","Los Angeles Clippers",121,"Memphis Grizzlies",119,16.721,"MEM",0,"201911270MEM"
"261",2019,"11","27","8:00p","Atlanta Hawks",102,"Milwaukee Bucks",111,17.525,"MIL",0,"201911270MIL"
"262",2019,"11","27","8:30p","Minnesota Timberwolves",113,"San Antonio Spurs",101,18.354,"SAS",0,"201911270SAS"
"263",2019,"11","27","9:00p","Washington Wizards",140,"Phoenix Suns",132,14.123,"PHO",0,"201911270PHO"
"264",2019,"11","27","9:30p","Los Angeles Lakers",114,"New Orleans Pelicans",110,18.626,"NOP",0,"201911270NOP"
"265",2019,"11","27","10:00p","Oklahoma City Thunder",119,"Portland Trail Blazers",136,19.87,"POR",0,"201911270POR"
"266",2019,"11","27","10:30p","Chicago Bulls",90,"Golden State Warriors",104,18.064,"GSW",0,"201911270GSW"
"267",2019,"11","29","12:00p","Boston Celtics",107,"Brooklyn Nets",112,17.732,"BRK",0,"201911290BRK"
"268",2019,"11","29","7:00p","Charlotte Hornets",110,"Detroit Pistons",107,15.006,"DET",0,"201911290DET"
"269",2019,"11","29","7:00p","Toronto Raptors",90,"Orlando Magic",83,17.014,"ORL",0,"201911290ORL"
"270",2019,"11","29","7:30p","Milwaukee Bucks",119,"Cleveland Cavaliers",110,19.432,"CLE",0,"201911290CLE"
"271",2019,"11","29","7:30p","Philadelphia 76ers",101,"New York Knicks",95,18.109,"NYK",0,"201911290NYK"
"272",2019,"11","29","8:00p","Atlanta Hawks",104,"Indiana Pacers",105,15.827,"IND",0,"201911290IND"
"273",2019,"11","29","8:00p","Utah Jazz",103,"Memphis Grizzlies",94,16.605,"MEM",0,"201911290MEM"
"274",2019,"11","29","8:00p","Golden State Warriors",105,"Miami Heat",122,19.6,"MIA",0,"201911290MIA"
"275",2019,"11","29","8:00p","New Orleans Pelicans",104,"Oklahoma City Thunder",109,18.203,"OKC",0,"201911290OKC"
"276",2019,"11","29","8:30p","Los Angeles Clippers",97,"San Antonio Spurs",107,18.354,"SAS",0,"201911290SAS"
"277",2019,"11","29","9:00p","Dallas Mavericks",120,"Phoenix Suns",113,18.055,"PHO",0,"201911290PHO"
"278",2019,"11","29","10:00p","Chicago Bulls",103,"Portland Trail Blazers",107,20.139,"POR",0,"201911290POR"
"279",2019,"11","29","10:30p","Washington Wizards",103,"Los Angeles Lakers",125,18.997,"LAL",0,"201911290LAL"
"280",2019,"11","30","5:00p","Denver Nuggets",97,"Sacramento Kings",100,17.583,"SAC",0,"201911300SAC"
"281",2019,"11","30","7:00p","Indiana Pacers",116,"Philadelphia 76ers",119,20.517,"PHI",0,"201911300PHI"
"282",2019,"11","30","8:00p","Atlanta Hawks",111,"Houston Rockets",158,18.055,"HOU",0,"201911300HOU"
"283",2019,"11","30","8:00p","Charlotte Hornets",96,"Milwaukee Bucks",137,17.55,"MIL",0,"201911300MIL"
"284",2019,"12","01","3:00p","Miami Heat",109,"Brooklyn Nets",106,17.026,"BRK",0,"201912010BRK"
"285",2019,"12","01","3:30p","Memphis Grizzlies",115,"Minnesota Timberwolves",107,12.276,"MIN",0,"201912010MIN"
"286",2019,"12","01","3:30p","Boston Celtics",113,"New York Knicks",104,18.005,"NYK",0,"201912010NYK"
"287",2019,"12","01","4:00p","Dallas Mavericks",114,"Los Angeles Lakers",100,18.997,"LAL",0,"201912010LAL"
"288",2019,"12","01","5:00p","San Antonio Spurs",98,"Detroit Pistons",132,14.27,"DET",0,"201912010DET"
"289",2019,"12","01","5:00p","Oklahoma City Thunder",107,"New Orleans Pelicans",104,15.427,"NOP",0,"201912010NOP"
"290",2019,"12","01","6:00p","Golden State Warriors",96,"Orlando Magic",100,15.052,"ORL",0,"201912010ORL"
"291",2019,"12","01","6:00p","Utah Jazz",110,"Toronto Raptors",130,18.132,"TOR",0,"201912010TOR"
"292",2019,"12","01","10:30p","Washington Wizards",125,"Los Angeles Clippers",150,19.068,"LAC",0,"201912010LAC"
"293",2019,"12","02","7:00p","Phoenix Suns",109,"Charlotte Hornets",104,11.221,"CHO",0,"201912020CHO"
"294",2019,"12","02","7:00p","Utah Jazz",94,"Philadelphia 76ers",103,20.208,"PHI",0,"201912020PHI"
"295",2019,"12","02","7:30p","Golden State Warriors",79,"Atlanta Hawks",104,14.278,"ATL",0,"201912020ATL"
"296",2019,"12","02","8:00p","Indiana Pacers",117,"Memphis Grizzlies",104,11.919,"MEM",0,"201912020MEM"
"297",2019,"12","02","8:00p","New York Knicks",88,"Milwaukee Bucks",132,17.385,"MIL",0,"201912020MIL"
"298",2019,"12","02","10:00p","Chicago Bulls",113,"Sacramento Kings",106,17.257,"SAC",0,"201912020SAC"
"299",2019,"12","03","7:00p","Detroit Pistons",127,"Cleveland Cavaliers",94,17.504,"CLE",0,"201912030CLE"
"300",2019,"12","03","7:00p","Orlando Magic",127,"Washington Wizards",120,13.159,"WAS",0,"201912030WAS"
"301",2019,"12","03","7:30p","Dallas Mavericks",118,"New Orleans Pelicans",97,14.664,"NOP",0,"201912030NOP"
"302",2019,"12","03","7:30p","Miami Heat",121,"Toronto Raptors",110,19.8,"TOR",0,"201912030TOR"
"303",2019,"12","03","8:30p","Houston Rockets",133,"San Antonio Spurs",135,18.354,"SAS",0,"201912030SAS"
"304",2019,"12","03","9:00p","Los Angeles Lakers",105,"Denver Nuggets",96,19.658,"DEN",0,"201912030DEN"
"305",2019,"12","03","10:00p","Portland Trail Blazers",97,"Los Angeles Clippers",117,19.068,"LAC",0,"201912030LAC"
"306",2019,"12","04","7:00p","Golden State Warriors",91,"Charlotte Hornets",106,14.355,"CHO",0,"201912040CHO"
"307",2019,"12","04","7:00p","Milwaukee Bucks",127,"Detroit Pistons",103,15.742,"DET",0,"201912040DET"
"308",2019,"12","04","7:00p","Phoenix Suns",114,"Orlando Magic",128,15.176,"ORL",0,"201912040ORL"
"309",2019,"12","04","7:30p","Brooklyn Nets",130,"Atlanta Hawks",118,15.694,"ATL",0,"201912040ATL"
"310",2019,"12","04","7:30p","Miami Heat",93,"Boston Celtics",112,19.156,"BOS",0,"201912040BOS"
"311",2019,"12","04","8:00p","Memphis Grizzlies",99,"Chicago Bulls",106,15.017,"CHI",0,"201912040CHI"
"312",2019,"12","04","8:00p","Indiana Pacers",107,"Oklahoma City Thunder",100,18.203,"OKC",0,"201912040OKC"
"313",2019,"12","04","8:30p","Minnesota Timberwolves",114,"Dallas Mavericks",121,19.671,"DAL",0,"201912040DAL"
"314",2019,"12","04","9:00p","Los Angeles Lakers",121,"Utah Jazz",96,18.306,"UTA",0,"201912040UTA"
"315",2019,"12","04","10:00p","Sacramento Kings",116,"Portland Trail Blazers",127,19.393,"POR",0,"201912040POR"
"316",2019,"12","05","7:00p","Philadelphia 76ers",113,"Washington Wizards",119,16.554,"WAS",0,"201912050WAS"
"317",2019,"12","05","7:30p","Denver Nuggets",129,"New York Knicks",92,18.171,"NYK",0,"201912050NYK"
"318",2019,"12","05","7:30p","Houston Rockets",119,"Toronto Raptors",109,19.8,"TOR",0,"201912050TOR"
"319",2019,"12","05","8:00p","Phoenix Suns",139,"New Orleans Pelicans",132,15.607,"NOP",0,"201912050NOP"
"320",2019,"12","06","7:00p","Brooklyn Nets",111,"Charlotte Hornets",104,15.075,"CHO",0,"201912060CHO"
"321",2019,"12","06","7:00p","Orlando Magic",93,"Cleveland Cavaliers",87,18.446,"CLE",0,"201912060CLE"
"322",2019,"12","06","7:00p","Indiana Pacers",101,"Detroit Pistons",108,14.894,"DET",0,"201912060DET"
"323",2019,"12","06","8:00p","Denver Nuggets",95,"Boston Celtics",108,19.156,"BOS",0,"201912060BOS"
"324",2019,"12","06","8:00p","Golden State Warriors",100,"Chicago Bulls",98,18.841,"CHI",0,"201912060CHI"
"325",2019,"12","06","8:00p","Washington Wizards",103,"Miami Heat",112,19.6,"MIA",0,"201912060MIA"
"326",2019,"12","06","8:00p","Minnesota Timberwolves",127,"Oklahoma City Thunder",139,18.203,"OKC",0,"201912060OKC"
"327",2019,"12","06","8:30p","Los Angeles Clippers",91,"Milwaukee Bucks",119,17.732,"MIL",0,"201912060MIL"
"328",2019,"12","06","8:30p","Sacramento Kings",104,"San Antonio Spurs",105,18.354,"SAS",0,"201912060SAS"
"329",2019,"12","06","10:30p","Los Angeles Lakers",136,"Portland Trail Blazers",113,19.912,"POR",0,"201912060POR"
"330",2019,"12","07","2:00p","New Orleans Pelicans",84,"Dallas Mavericks",130,19.456,"DAL",0,"201912070DAL"
"331",2019,"12","07","7:30p","Indiana Pacers",104,"New York Knicks",103,19.11,"NYK",0,"201912070NYK"
"332",2019,"12","07","7:30p","Cleveland Cavaliers",94,"Philadelphia 76ers",141,20.844,"PHI",0,"201912070PHI"
"333",2019,"12","07","8:00p","Phoenix Suns",109,"Houston Rockets",115,18.055,"HOU",0,"201912070HOU"
"334",2019,"12","07","10:00p","Memphis Grizzlies",112,"Utah Jazz",126,18.306,"UTA",0,"201912070UTA"
"335",2019,"12","08","3:00p","Denver Nuggets",102,"Brooklyn Nets",105,16.679,"BRK",0,"201912080BRK"
"336",2019,"12","08","5:00p","Atlanta Hawks",122,"Charlotte Hornets",107,15.489,"CHO",0,"201912080CHO"
"337",2019,"12","08","6:00p","Chicago Bulls",105,"Miami Heat",110,19.6,"MIA",0,"201912080MIA"
"338",2019,"12","08","6:00p","Toronto Raptors",104,"Philadelphia 76ers",110,20.313,"PHI",0,"201912080PHI"
"339",2019,"12","08","6:00p","Los Angeles Clippers",135,"Washington Wizards",119,15.946,"WAS",0,"201912080WAS"
"340",2019,"12","08","7:00p","Sacramento Kings",110,"Dallas Mavericks",106,19.566,"DAL",0,"201912080DAL"
"341",2019,"12","08","9:00p","Oklahoma City Thunder",108,"Portland Trail Blazers",96,19.393,"POR",0,"201912080POR"
"342",2019,"12","08","9:30p","Minnesota Timberwolves",125,"Los Angeles Lakers",142,18.997,"LAL",0,"201912080LAL"
"343",2019,"12","09","7:00p","Los Angeles Clippers",110,"Indiana Pacers",99,14.644,"IND",0,"201912090IND"
"344",2019,"12","09","7:30p","Cleveland Cavaliers",88,"Boston Celtics",110,19.156,"BOS",0,"201912090BOS"
"345",2019,"12","09","8:00p","Toronto Raptors",93,"Chicago Bulls",92,14.775,"CHI",0,"201912090CHI"
"346",2019,"12","09","8:00p","Sacramento Kings",119,"Houston Rockets",118,18.055,"HOU",0,"201912090HOU"
"347",2019,"12","09","8:00p","Orlando Magic",101,"Milwaukee Bucks",110,17.385,"MIL",0,"201912090MIL"
"348",2019,"12","09","8:00p","Detroit Pistons",105,"New Orleans Pelicans",103,13.694,"NOP",0,"201912090NOP"
"349",2019,"12","09","9:00p","Minnesota Timberwolves",109,"Phoenix Suns",125,13.23,"PHO",0,"201912090PHO"
"350",2019,"12","09","9:00p","Oklahoma City Thunder",104,"Utah Jazz",90,18.306,"UTA",0,"201912090UTA"
"351",2019,"12","09","10:30p","Memphis Grizzlies",110,"Golden State Warriors",102,18.064,"GSW",0,"201912090GSW"
"352",2019,"12","10","7:00p","Washington Wizards",107,"Charlotte Hornets",114,10.626,"CHO",0,"201912100CHO"
"353",2019,"12","10","8:00p","Atlanta Hawks",121,"Miami Heat",135,19.6,"MIA",0,"201912100MIA"
"354",2019,"12","10","8:00p","Denver Nuggets",92,"Philadelphia 76ers",97,20.591,"PHI",0,"201912100PHI"
"355",2019,"12","10","10:00p","New York Knicks",87,"Portland Trail Blazers",115,19.393,"POR",0,"201912100POR"
"356",2019,"12","11","7:00p","Houston Rockets",116,"Cleveland Cavaliers",110,17.122,"CLE",0,"201912110CLE"
"357",2019,"12","11","7:00p","Boston Celtics",117,"Indiana Pacers",122,15.637,"IND",0,"201912110IND"
"358",2019,"12","11","7:00p","Los Angeles Lakers",96,"Orlando Magic",87,18.846,"ORL",0,"201912110ORL"
"359",2019,"12","11","7:00p","Los Angeles Clippers",112,"Toronto Raptors",92,20.144,"TOR",0,"201912110TOR"
"360",2019,"12","11","7:30p","Charlotte Hornets",113,"Brooklyn Nets",108,15.631,"BRK",0,"201912110BRK"
"361",2019,"12","11","8:00p","Atlanta Hawks",102,"Chicago Bulls",136,15.084,"CHI",0,"201912110CHI"
"362",2019,"12","11","8:00p","Utah Jazz",127,"Minnesota Timberwolves",116,12.369,"MIN",0,"201912110MIN"
"363",2019,"12","11","9:00p","Memphis Grizzlies",115,"Phoenix Suns",108,12.254,"PHO",0,"201912110PHO"
"364",2019,"12","11","9:30p","New Orleans Pelicans",112,"Milwaukee Bucks",127,17.385,"MIL",0,"201912110MIL"
"365",2019,"12","11","10:00p","Oklahoma City Thunder",93,"Sacramento Kings",94,16.723,"SAC",0,"201912110SAC"
"366",2019,"12","11","10:30p","New York Knicks",124,"Golden State Warriors",122,18.064,"GSW",0,"201912110GSW"
"367",2019,"12","12","8:00p","Philadelphia 76ers",115,"Boston Celtics",109,19.156,"BOS",0,"201912120BOS"
"368",2019,"12","12","8:30p","Cleveland Cavaliers",117,"San Antonio Spurs",109,18.354,"SAS",0,"201912120SAS"
"369",2019,"12","12","9:00p","Dallas Mavericks",122,"Detroit Pistons",111,20.064,"DET",0,"201912120DET"
"370",2019,"12","12","10:30p","Portland Trail Blazers",99,"Denver Nuggets",114,18.828,"DEN",0,"201912120DEN"
"371",2019,"12","13","7:00p","Los Angeles Lakers",113,"Miami Heat",110,20.013,"MIA",0,"201912130MIA"
"372",2019,"12","13","7:00p","Houston Rockets",130,"Orlando Magic",107,16.335,"ORL",0,"201912130ORL"
"373",2019,"12","13","7:00p","New Orleans Pelicans",109,"Philadelphia 76ers",116,20.62,"PHI",0,"201912130PHI"
"374",2019,"12","13","7:30p","Indiana Pacers",110,"Atlanta Hawks",100,15.121,"ATL",0,"201912130ATL"
"375",2019,"12","13","8:00p","Charlotte Hornets",83,"Chicago Bulls",73,18.377,"CHI",0,"201912130CHI"
"376",2019,"12","13","8:00p","Milwaukee Bucks",127,"Memphis Grizzlies",114,16.109,"MEM",0,"201912130MEM"
"377",2019,"12","13","9:00p","Golden State Warriors",106,"Utah Jazz",114,18.306,"UTA",0,"201912130UTA"
"378",2019,"12","13","9:30p","Los Angeles Clippers",124,"Minnesota Timberwolves",117,17.585,"MIN",0,"201912130MIN"
"379",2019,"12","13","10:00p","New York Knicks",103,"Sacramento Kings",101,17.583,"SAC",0,"201912130SAC"
"380",2019,"12","14","5:00p","San Antonio Spurs",121,"Phoenix Suns",119,20.013,"PHO",0,"201912140PHO"
"381",2019,"12","14","7:30p","Brooklyn Nets",102,"Toronto Raptors",110,19.8,"TOR",0,"201912140TOR"
"382",2019,"12","14","8:00p","Los Angeles Clippers",106,"Chicago Bulls",109,18.426,"CHI",0,"201912140CHI"
"383",2019,"12","14","8:00p","Washington Wizards",111,"Memphis Grizzlies",128,15.631,"MEM",0,"201912140MEM"
"384",2019,"12","14","8:30p","Miami Heat",122,"Dallas Mavericks",118,20.333,"DAL",0,"201912140DAL"
"385",2019,"12","14","8:30p","Cleveland Cavaliers",108,"Milwaukee Bucks",125,17.481,"MIL",0,"201912140MIL"
"386",2019,"12","14","9:00p","Oklahoma City Thunder",102,"Denver Nuggets",110,19.52,"DEN",0,"201912140DEN"
"387",2019,"12","14","9:00p","Detroit Pistons",115,"Houston Rockets",107,18.055,"HOU",0,"201912140HOU"
"388",2019,"12","15","3:30p","Orlando Magic",130,"New Orleans Pelicans",119,15.388,"NOP",0,"201912150NOP"
"389",2019,"12","15","5:00p","Charlotte Hornets",85,"Indiana Pacers",107,16.061,"IND",0,"201912150IND"
"390",2019,"12","15","6:00p","Los Angeles Lakers",101,"Atlanta Hawks",96,16.962,"ATL",0,"201912150ATL"
"391",2019,"12","15","6:00p","Philadelphia 76ers",89,"Brooklyn Nets",109,17.732,"BRK",0,"201912150BRK"
"392",2019,"12","15","8:00p","New York Knicks",105,"Denver Nuggets",111,18.867,"DEN",0,"201912150DEN"
"393",2019,"12","15","8:30p","Sacramento Kings",100,"Golden State Warriors",79,18.064,"GSW",0,"201912150GSW"
"394",2019,"12","16","7:00p","Washington Wizards",133,"Detroit Pistons",119,14.632,"DET",0,"201912160DET"
"395",2019,"12","16","7:30p","Cleveland Cavaliers",113,"Toronto Raptors",133,19.8,"TOR",0,"201912160TOR"
"396",2019,"12","16","8:00p","San Antonio Spurs",107,"Houston Rockets",109,18.055,"HOU",0,"201912160HOU"
"397",2019,"12","16","8:00p","Miami Heat",111,"Memphis Grizzlies",118,14.021,"MEM",0,"201912160MEM"
"398",2019,"12","16","8:00p","Dallas Mavericks",120,"Milwaukee Bucks",116,17.727,"MIL",0,"201912160MIL"
"399",2019,"12","16","8:00p","Chicago Bulls",106,"Oklahoma City Thunder",109,18.203,"OKC",0,"201912160OKC"
"400",2019,"12","16","9:00p","Portland Trail Blazers",111,"Phoenix Suns",110,14.193,"PHO",0,"201912160PHO"
"401",2019,"12","17","7:00p","Sacramento Kings",102,"Charlotte Hornets",110,13.229,"CHO",0,"201912170CHO"
"402",2019,"12","17","7:00p","Los Angeles Lakers",102,"Indiana Pacers",105,17.923,"IND",0,"201912170IND"
"403",2019,"12","17","7:30p","Atlanta Hawks",120,"New York Knicks",143,18.268,"NYK",0,"201912170NYK"
"404",2019,"12","17","8:00p","Brooklyn Nets",108,"New Orleans Pelicans",101,15.177,"NOP",0,"201912170NOP"
"405",2019,"12","17","9:00p","Orlando Magic",102,"Utah Jazz",109,18.306,"UTA",0,"201912170UTA"
"406",2019,"12","17","10:30p","Phoenix Suns",99,"Los Angeles Clippers",120,19.068,"LAC",0,"201912170LAC"
"407",2019,"12","18","7:00p","Charlotte Hornets",98,"Cleveland Cavaliers",100,17.023,"CLE",0,"201912180CLE"
"408",2019,"12","18","7:00p","Toronto Raptors",112,"Detroit Pistons",99,15.319,"DET",0,"201912180DET"
"409",2019,"12","18","7:00p","Miami Heat",108,"Philadelphia 76ers",104,20.715,"PHI",0,"201912180PHI"
"410",2019,"12","18","7:00p","Chicago Bulls",110,"Washington Wizards",109,14.987,"WAS",0,"201912180WAS"
"411",2019,"12","18","8:00p","New Orleans Pelicans",107,"Minnesota Timberwolves",99,12.49,"MIN",0,"201912180MIN"
"412",2019,"12","18","8:00p","Memphis Grizzlies",122,"Oklahoma City Thunder",126,18.203,"OKC",0,"201912180OKC"
"413",2019,"12","18","9:00p","Orlando Magic",104,"Denver Nuggets",113,18.182,"DEN",0,"201912180DEN"
"414",2019,"12","18","9:30p","Boston Celtics",109,"Dallas Mavericks",103,20.181,"DAL",0,"201912180DAL"
"415",2019,"12","18","10:00p","Golden State Warriors",112,"Portland Trail Blazers",122,19.393,"POR",0,"201912180POR"
"416",2019,"12","19","7:30p","Utah Jazz",111,"Atlanta Hawks",106,16.739,"ATL",0,"201912190ATL"
"417",2019,"12","19","8:00p","Los Angeles Lakers",104,"Milwaukee Bucks",111,18.051,"MIL",0,"201912190MIL"
"418",2019,"12","19","8:30p","Brooklyn Nets",105,"San Antonio Spurs",118,18.354,"SAS",0,"201912190SAS"
"419",2019,"12","19","10:30p","Houston Rockets",122,"Los Angeles Clippers",117,19.068,"LAC",0,"201912190LAC"
"420",2019,"12","20","7:00p","Memphis Grizzlies",107,"Cleveland Cavaliers",114,19.432,"CLE",0,"201912200CLE"
"421",2019,"12","20","7:00p","Sacramento Kings",105,"Indiana Pacers",119,14.649,"IND",0,"201912200IND"
"422",2019,"12","20","7:30p","Detroit Pistons",93,"Boston Celtics",114,19.156,"BOS",0,"201912200BOS"
"423",2019,"12","20","7:30p","Washington Wizards",118,"Toronto Raptors",122,19.8,"TOR",0,"201912200TOR"
"424",2019,"12","20","8:00p","New York Knicks",114,"Miami Heat",129,19.704,"MIA",0,"201912200MIA"
"425",2019,"12","20","8:00p","Phoenix Suns",108,"Oklahoma City Thunder",126,18.203,"OKC",0,"201912200OKC"
"426",2019,"12","20","8:00p","Dallas Mavericks",117,"Philadelphia 76ers",98,20.778,"PHI",0,"201912200PHI"
"427",2019,"12","20","9:00p","Minnesota Timberwolves",100,"Denver Nuggets",109,19.52,"DEN",0,"201912200DEN"
"428",2019,"12","20","10:00p","Orlando Magic",103,"Portland Trail Blazers",118,19.393,"POR",0,"201912200POR"
"429",2019,"12","20","10:30p","New Orleans Pelicans",102,"Golden State Warriors",106,18.064,"GSW",0,"201912200GSW"
"430",2019,"12","21","5:00p","Utah Jazz",114,"Charlotte Hornets",107,16.187,"CHO",0,"201912210CHO"
"431",2019,"12","21","6:00p","Atlanta Hawks",112,"Brooklyn Nets",122,16.496,"BRK",0,"201912210BRK"
"432",2019,"12","21","7:00p","Chicago Bulls",119,"Detroit Pistons",107,15.948,"DET",0,"201912210DET"
"433",2019,"12","21","7:00p","Washington Wizards",108,"Philadelphia 76ers",125,20.529,"PHI",0,"201912210PHI"
"434",2019,"12","21","7:30p","Milwaukee Bucks",123,"New York Knicks",102,18.124,"NYK",0,"201912210NYK"
"435",2019,"12","21","8:00p","Sacramento Kings",115,"Memphis Grizzlies",119,15.603,"MEM",0,"201912210MEM"
"436",2019,"12","21","8:30p","Los Angeles Clippers",134,"San Antonio Spurs",109,18.354,"SAS",0,"201912210SAS"
"437",2019,"12","21","9:00p","Houston Rockets",139,"Phoenix Suns",125,16.061,"PHO",0,"201912210PHO"
"438",2019,"12","21","10:00p","Minnesota Timberwolves",106,"Portland Trail Blazers",113,19.393,"POR",0,"201912210POR"
"439",2019,"12","22","3:30p","Dallas Mavericks",107,"Toronto Raptors",110,19.8,"TOR",0,"201912220TOR"
"440",2019,"12","22","6:00p","Charlotte Hornets",93,"Boston Celtics",119,19.156,"BOS",0,"201912220BOS"
"441",2019,"12","22","7:00p","Indiana Pacers",89,"Milwaukee Bucks",117,18.029,"MIL",0,"201912220MIL"
"442",2019,"12","22","7:00p","Los Angeles Clippers",112,"Oklahoma City Thunder",118,18.203,"OKC",0,"201912220OKC"
"443",2019,"12","22","9:30p","Denver Nuggets",128,"Los Angeles Lakers",104,18.997,"LAL",0,"201912220LAL"
"444",2019,"12","23","7:00p","Atlanta Hawks",118,"Cleveland Cavaliers",121,18.007,"CLE",0,"201912230CLE"
"445",2019,"12","23","7:00p","Philadelphia 76ers",125,"Detroit Pistons",109,16.476,"DET",0,"201912230DET"
"446",2019,"12","23","7:00p","Toronto Raptors",115,"Indiana Pacers",120,17.164,"IND",0,"201912230IND"
"447",2019,"12","23","7:00p","Washington Wizards",121,"New York Knicks",115,19.413,"NYK",0,"201912230NYK"
"448",2019,"12","23","7:00p","Chicago Bulls",95,"Orlando Magic",103,18.846,"ORL",0,"201912230ORL"
"449",2019,"12","23","7:30p","Utah Jazz",104,"Miami Heat",107,19.89,"MIA",0,"201912230MIA"
"450",2019,"12","23","8:00p","San Antonio Spurs",145,"Memphis Grizzlies",115,16.776,"MEM",0,"201912230MEM"
"451",2019,"12","23","9:00p","Denver Nuggets",113,"Phoenix Suns",111,16.041,"PHO",0,"201912230PHO"
"452",2019,"12","23","10:00p","New Orleans Pelicans",102,"Portland Trail Blazers",94,19.499,"POR",0,"201912230POR"
"453",2019,"12","23","10:00p","Houston Rockets",113,"Sacramento Kings",104,17.583,"SAC",0,"201912230SAC"
"454",2019,"12","23","10:30p","Minnesota Timberwolves",104,"Golden State Warriors",113,18.064,"GSW",0,"201912230GSW"
"455",2019,"12","25","12:00p","Boston Celtics",118,"Toronto Raptors",102,19.8,"TOR",0,"201912250TOR"
"456",2019,"12","25","2:30p","Milwaukee Bucks",109,"Philadelphia 76ers",121,21.028,"PHI",0,"201912250PHI"
"457",2019,"12","25","5:00p","Houston Rockets",104,"Golden State Warriors",116,18.064,"GSW",0,"201912250GSW"
"458",2019,"12","25","8:00p","Los Angeles Clippers",111,"Los Angeles Lakers",106,18.997,"LAL",0,"201912250LAL"
"459",2019,"12","25","10:30p","New Orleans Pelicans",112,"Denver Nuggets",100,19.52,"DEN",0,"201912250DEN"
"460",2019,"12","26","7:00p","Washington Wizards",102,"Detroit Pistons",132,17.188,"DET",0,"201912260DET"
"461",2019,"12","26","7:30p","New York Knicks",94,"Brooklyn Nets",82,17.732,"BRK",0,"201912260BRK"
