"","year","month","day","start","visitor","pts_visitor","home","pts_home","attend","acr","zer","code"
"53",2019,"10","29","9:00p","Dallas Mavericks",109,"Denver Nuggets",106,16.605,"DEN",0,"201910290DEN"
"54",2019,"10","29","10:30p","Memphis Grizzlies",91,"Los Angeles Lakers",120,18.997,"LAL",0,"201910290LAL"
"55",2019,"10","30","7:00p","Chicago Bulls",111,"Cleveland Cavaliers",117,17.595,"CLE",0,"201910300CLE"
"56",2019,"10","30","7:00p","New York Knicks",83,"Orlando Magic",95,17.456,"ORL",0,"201910300ORL"
"57",2019,"10","30","7:00p","Minnesota Timberwolves",95,"Philadelphia 76ers",117,20.204,"PHI",0,"201910300PHI"
"58",2019,"10","30","7:30p","Milwaukee Bucks",105,"Boston Celtics",116,18.624,"BOS",0,"201910300BOS"
"59",2019,"10","30","7:30p","Indiana Pacers",118,"Brooklyn Nets",108,17.083,"BRK",0,"201910300BRK"
"60",2019,"10","30","7:30p","Detroit Pistons",113,"Toronto Raptors",125,19.8,"TOR",0,"201910300TOR"
"61",2019,"10","30","8:00p","Portland Trail Blazers",102,"Oklahoma City Thunder",99,18.203,"OKC",0,"201910300OKC"
"62",2019,"10","30","8:00p","Houston Rockets",159,"Washington Wizards",158,20.476,"WAS",0,"201910300WAS"
"63",2019,"10","30","10:00p","Charlotte Hornets",118,"Sacramento Kings",111,15.416,"SAC",0,"201910300SAC"
"64",2019,"10","30","10:00p","Los Angeles Clippers",96,"Utah Jazz",110,18.306,"UTA",0,"201910300UTA"
"65",2019,"10","30","10:30p","Phoenix Suns",121,"Golden State Warriors",110,18.064,"GSW",0,"201910300GSW"
"66",2019,"10","31","7:00p","Miami Heat",106,"Atlanta Hawks",97,16.539,"ATL",0,"201910310ATL"
"67",2019,"10","31","9:30p","Denver Nuggets",107,"New Orleans Pelicans",122,16.613,"NOP",0,"201910310NOP"
"68",2019,"10","31","10:30p","San Antonio Spurs",97,"Los Angeles Clippers",103,19.068,"LAC",0,"201910310LAC"
"69",2019,"11","01","7:00p","Houston Rockets",116,"Brooklyn Nets",123,17.732,"BRK",0,"201911010BRK"
"70",2019,"11","01","7:00p","Cleveland Cavaliers",95,"Indiana Pacers",102,16.079,"IND",0,"201911010IND"
"71",2019,"11","01","7:00p","Milwaukee Bucks",123,"Orlando Magic",91,15.105,"ORL",0,"201911010ORL"
"72",2019,"11","01","7:30p","New York Knicks",102,"Boston Celtics",104,18.624,"BOS",0,"201911010BOS"
"73",2019,"11","01","8:00p","Detroit Pistons",106,"Chicago Bulls",112,20.671,"CHI",0,"201911010CHI"
"74",2019,"11","01","9:30p","Los Angeles Lakers",119,"Dallas Mavericks",110,20.358,"DAL",0,"201911010DAL"
"75",2019,"11","01","10:00p","Utah Jazz",101,"Sacramento Kings",102,16.273,"SAC",0,"201911010SAC"
"76",2019,"11","01","10:30p","San Antonio Spurs",127,"Golden State Warriors",110,18.064,"GSW",0,"201911010GSW"
"77",2019,"11","02","5:00p","New Orleans Pelicans",104,"Oklahoma City Thunder",115,18.203,"OKC",0,"201911020OKC"
"78",2019,"11","02","7:00p","Brooklyn Nets",109,"Detroit Pistons",113,17.222,"DET",0,"201911020DET"
"79",2019,"11","02","7:00p","Denver Nuggets",91,"Orlando Magic",87,17.025,"ORL",0,"201911020ORL"
"80",2019,"11","02","8:00p","Phoenix Suns",114,"Memphis Grizzlies",105,14.144,"MEM",0,"201911020MEM"
"81",2019,"11","02","8:00p","Toronto Raptors",105,"Milwaukee Bucks",115,17.637,"MIL",0,"201911020MIL"
"82",2019,"11","02","8:00p","Minnesota Timberwolves",131,"Washington Wizards",109,15.15,"WAS",0,"201911020WAS"
"83",2019,"11","02","8:30p","Charlotte Hornets",93,"Golden State Warriors",87,18.064,"GSW",0,"201911020GSW"
"84",2019,"11","02","10:00p","Philadelphia 76ers",129,"Portland Trail Blazers",128,19.669,"POR",0,"201911020POR"
"85",2019,"11","03","5:00p","Chicago Bulls",95,"Indiana Pacers",108,17.073,"IND",0,"201911030IND"
"86",2019,"11","03","6:00p","Houston Rockets",100,"Miami Heat",129,19.724,"MIA",0,"201911030MIA"
"87",2019,"11","03","6:00p","Sacramento Kings",113,"New York Knicks",92,19.812,"NYK",0,"201911030NYK"
"88",2019,"11","03","7:00p","Los Angeles Lakers",103,"San Antonio Spurs",96,18.61,"SAS",0,"201911030SAS"
"89",2019,"11","03","7:30p","Dallas Mavericks",131,"Cleveland Cavaliers",111,18.078,"CLE",0,"201911030CLE"
"90",2019,"11","03","9:00p","Utah Jazz",94,"Los Angeles Clippers",105,19.068,"LAC",0,"201911030LAC"
"91",2019,"11","04","7:00p","Detroit Pistons",99,"Washington Wizards",115,13.052,"WAS",0,"201911040WAS"
"92",2019,"11","04","7:30p","New Orleans Pelicans",125,"Brooklyn Nets",135,17.194,"BRK",0,"201911040BRK"
"93",2019,"11","04","8:00p","Houston Rockets",107,"Memphis Grizzlies",100,14.197,"MEM",0,"201911040MEM"
"94",2019,"11","04","8:00p","Milwaukee Bucks",134,"Minnesota Timberwolves",106,16.271,"MIN",0,"201911040MIN"
"95",2019,"11","04","9:00p","Philadelphia 76ers",109,"Phoenix Suns",114,14.285,"PHO",0,"201911040PHO"
"96",2019,"11","04","10:30p","Portland Trail Blazers",118,"Golden State Warriors",127,18.064,"GSW",0,"201911040GSW"
"97",2019,"11","05","7:00p","Indiana Pacers",120,"Charlotte Hornets",122,13.341,"CHO",0,"201911050CHO"
