0,codes
1,201910220TOR
2,201910220LAC
3,201910230CHO
4,201910230IND
5,201910230ORL
6,201910230BRK
7,201910230MIA
8,201910230PHI
9,201910230DAL
10,201910230SAS
11,201910230UTA
12,201910230POR
13,201910230PHO
14,201910240DET
15,201910240HOU
16,201910240GSW
17,201910250BOS
18,201910250CHO
19,201910250BRK
20,201910250MEM
21,201910250NOP
22,201910250OKC
23,201910250DEN
24,201910250SAC
25,201910250LAL
26,201910260MIL
27,201910260DET
28,201910260ATL
29,201910260NYK
30,201910260CHI
31,201910260CLE
32,201910260HOU
33,201910260SAS
34,201910260UTA
35,201910260PHO
36,201910270OKC
37,201910270MEM
38,201910270DAL
39,201910270MIN
40,201910270LAL
41,201910280DET
42,201910280NYK
43,201910280ATL
44,201910280TOR
45,201910280MIL
46,201910280NOP
47,201910280HOU
48,201910280SAS
49,201910280PHO
50,201910280SAC
51,201910280LAC
52,201910290MIA
53,201910290DEN
54,201910290LAL
55,201910300PHI
56,201910300ORL
57,201910300CLE
58,201910300BRK
59,201910300BOS
60,201910300TOR
61,201910300OKC
62,201910300WAS
63,201910300SAC
64,201910300UTA
65,201910300GSW
66,201910310ATL
67,201910310NOP
68,201910310LAC
69,201911010BRK
70,201911010IND
71,201911010ORL
72,201911010BOS
73,201911010CHI
74,201911010DAL
75,201911010SAC
76,201911010GSW
77,201911020OKC
78,201911020DET
79,201911020ORL
80,201911020MEM
81,201911020MIL
82,201911020WAS
83,201911020GSW
84,201911020POR
85,201911030IND
86,201911030MIA
87,201911030NYK
88,201911030SAS
89,201911030CLE
90,201911030LAC
91,201911040WAS
92,201911040BRK
93,201911040MEM
94,201911040MIN
95,201911040PHO
96,201911040GSW
97,201911050CHO
98,201911050CLE
99,201911050ATL
100,201911050CHI
101,201911050OKC
102,201911050DEN
103,201911060DET
104,201911060IND
105,201911060ATL
106,201911060HOU
107,201911060TOR
108,201911060MEM
109,201911060DAL
110,201911060UTA
111,201911060LAC
112,201911070CHO
113,201911070SAS
114,201911070PHO
115,201911070LAC
116,201911080IND
117,201911080ORL
118,201911080WAS
119,201911080ATL
120,201911080MIN
121,201911080NOP
122,201911080DAL
123,201911080DEN
124,201911080UTA
125,201911080POR
126,201911080LAL
127,201911090SAS
128,201911090CHO
129,201911090CHI
130,201911090MEM
131,201911090OKC
132,201911100MIN
133,201911100ORL
134,201911100PHI
135,201911100OKC
136,201911100NYK
137,201911100PHO
138,201911100POR
139,201911100LAL
140,201911110DET
141,201911110BOS
142,201911110SAS
143,201911110NOP
144,201911110GSW
145,201911110LAC
146,201911120IND
147,201911120PHI
148,201911120MIA
149,201911120CHI
150,201911120DEN
151,201911120PHO
152,201911120UTA
153,201911120SAC
154,201911130CHO
155,201911130ORL
156,201911130BOS
157,201911130HOU
158,201911130MIN
159,201911130LAL
160,201911130POR
161,201911140CLE
162,201911140MIL
163,201911140NOP
164,201911140NYK
165,201911140PHO
166,201911140DEN
167,201911150CHO
168,201911150ORL
169,201911150HOU
170,201911150MEM
171,201911150MIN
172,201911150OKC
173,201911150GSW
174,201911150LAL
175,201911160CHI
176,201911160IND
177,201911160NYK
178,201911160MIA
179,201911160MIN
180,201911160DAL
181,201911160SAS
182,201911160LAC
183,201911170CLE
184,201911170SAC
185,201911170MEM
186,201911170ORL
187,201911170NOP
188,201911170LAL
189,201911180NYK
190,201911180BRK
191,201911180TOR
192,201911180CHI
193,201911180HOU
194,201911180DAL
195,201911180PHO
196,201911180UTA
197,201911180LAC
198,201911190MEM
199,201911190NOP
200,201911190SAC
201,201911190LAL
202,201911200PHI
203,201911200WAS
204,201911200ATL
205,201911200BRK
206,201911200DAL
207,201911200MIA
208,201911200TOR
209,201911200CHI
210,201911200MIN
211,201911200DEN
212,201911200LAC
213,201911210MIL
214,201911210PHO
215,201911220DET
216,201911220WAS
217,201911220BRK
218,201911220CHI
219,201911220OKC
220,201911220PHI
221,201911220DAL
222,201911220DEN
223,201911220UTA
224,201911220LAC
225,201911230MIN
226,201911230CHO
227,201911230IND
228,201911230ATL
229,201911230NYK
230,201911230PHI
231,201911230CLE
232,201911230MEM
233,201911230MIL
234,201911230UTA
235,201911240HOU
236,201911240NYK
237,201911240WAS
238,201911240DEN
239,201911240LAC
240,201911250CLE
241,201911250DET
242,201911250IND
243,201911250ATL
244,201911250BOS
245,201911250MIA
246,201911250TOR
247,201911250CHI
248,201911250MIL
249,201911250SAS
250,201911250GSW
251,201911260DAL
252,201911260DEN
253,201911270BOS
254,201911270CHO
255,201911270CLE
256,201911270IND
257,201911270PHI
258,201911270TOR
259,201911270HOU
260,201911270MEM
261,201911270MIL
262,201911270SAS
263,201911270PHO
264,201911270NOP
265,201911270POR
266,201911270GSW
267,201911290BRK
268,201911290DET
269,201911290ORL
270,201911290CLE
271,201911290NYK
272,201911290IND
273,201911290MEM
274,201911290MIA
275,201911290OKC
276,201911290SAS
277,201911290PHO
278,201911290POR
279,201911290LAL
280,201911300SAC
281,201911300PHI
282,201911300HOU
283,201911300MIL
284,201912010BRK
285,201912010MIN
286,201912010NYK
287,201912010LAL
288,201912010DET
289,201912010NOP
290,201912010ORL
291,201912010TOR
292,201912010LAC
293,201912020CHO
294,201912020PHI
295,201912020ATL
296,201912020MEM
297,201912020MIL
298,201912020SAC
299,201912030CLE
300,201912030WAS
301,201912030NOP
302,201912030TOR
303,201912030SAS
304,201912030DEN
305,201912030LAC
306,201912040CHO
307,201912040DET
308,201912040ORL
309,201912040ATL
310,201912040BOS
311,201912040CHI
312,201912040OKC
313,201912040DAL
314,201912040UTA
315,201912040POR
316,201912050WAS
317,201912050NYK
318,201912050TOR
319,201912050NOP
320,201912060CHO
321,201912060CLE
322,201912060DET
323,201912060BOS
324,201912060CHI
325,201912060MIA
326,201912060OKC
327,201912060MIL
328,201912060SAS
329,201912060POR
330,201912070DAL
331,201912070NYK
332,201912070PHI
333,201912070HOU
334,201912070UTA
335,201912080BRK
336,201912080CHO
337,201912080MIA
338,201912080PHI
339,201912080WAS
340,201912080DAL
341,201912080POR
342,201912080LAL
343,201912090IND
344,201912090BOS
345,201912090CHI
346,201912090HOU
347,201912090MIL
348,201912090NOP
349,201912090PHO
350,201912090UTA
351,201912090GSW
352,201912100CHO
353,201912100MIA
354,201912100PHI
355,201912100POR
356,201912110CLE
357,201912110IND
358,201912110ORL
359,201912110TOR
360,201912110BRK
361,201912110CHI
362,201912110MIN
363,201912110PHO
364,201912110MIL
365,201912110SAC
366,201912110GSW
367,201912120BOS
368,201912120SAS
369,201912120DET
370,201912120DEN
371,201912130MIA
372,201912130ORL
373,201912130PHI
374,201912130ATL
375,201912130CHI
376,201912130MEM
377,201912130UTA
378,201912130MIN
379,201912130SAC
380,201912140PHO
381,201912140TOR
382,201912140CHI
383,201912140MEM
384,201912140DAL
385,201912140MIL
386,201912140DEN
387,201912140HOU
388,201912150NOP
389,201912150IND
390,201912150ATL
391,201912150BRK
392,201912150DEN
393,201912150GSW
394,201912160DET
395,201912160TOR
396,201912160HOU
397,201912160MEM
398,201912160MIL
399,201912160OKC
