0,1,2,3,4,5,6,7
33:59,34:57,YES,YES,Did Not Play,35:33,YES,YES
38:08,27:29,YES,YES,33:23,28:02,YES,YES
0,Did Not Dress,NO,YES,38:42,32:29,YES,YES
21:56,25:51,YES,YES,31:51,27:12,YES,YES
28:53,35:58,YES,YES,38:59,33:35,YES,YES
29:18,29:54,YES,YES,39:36,Did Not Play,YES,YES
0,0,NO,NO,35:29,7:43,YES,YES
38:59,16:12,YES,YES,0,31:20,NO,YES
0,36:11,NO,YES,35:13,35:35,YES,YES
28:30,0,YES,NO,37:47,37:25,YES,YES
36:26,37:31,YES,YES,36:31,38:19,YES,YES
38:31,35:46,YES,YES,40:21,34:20,YES,YES
38:06,38:03,YES,YES,34:45,36:03,YES,YES
33:55,32:28,YES,YES,27:17,26:22,YES,YES
0,35:35,NO,YES,27:52,31:09,YES,YES
35:48,31:47,YES,YES,32:06,29:00,YES,YES
28:41,0,YES,NO,23:18,Did Not Play,YES,YES
0,0,NO,NO,30:34,25:08,YES,YES
35:55,35:25,YES,YES,41:12,9:44,YES,YES
37:32,29:20,YES,YES,34:45,30:21,YES,YES
26:58,33:39,YES,YES,25:48,0,YES,NO
36:25,22:31,YES,YES,31:46,0,YES,NO
31:35,30:46,YES,YES,0,31:29,NO,YES
25:07,11:55,YES,YES,Did Not Play,32:24,YES,YES
42:58,Did Not Play,YES,YES,44:15,35:25,YES,YES
42:13,0,YES,NO,37:40,35:20,YES,YES
30:19,17:11,YES,YES,23:58,19:54,YES,YES
33:47,19:50,YES,YES,34:54,33:07,YES,YES
27:19,24:42,YES,YES,34:31,32:50,YES,YES
38:16,35:22,YES,YES,0,Did Not Play,NO,YES
34:30,33:01,YES,YES,0,22:20,NO,YES
43:35,0,YES,NO,34:58,31:19,YES,YES
24:58,19:04,YES,YES,29:13,25:27,YES,YES
31:29,32:33,YES,YES,35:05,34:59,YES,YES
Did Not Play,Did Not Play,YES,YES,38:57,27:40,YES,YES
0,36:43,NO,YES,30:39,35:19,YES,YES
41:20,Did Not Play,YES,YES,30:44,33:19,YES,YES
37:33,37:04,YES,YES,Did Not Play,39:12,YES,YES
36:41,17:34,YES,YES,37:33,37:44,YES,YES
37:34,20:37,YES,YES,31:08,0,YES,NO
23:00,30:03,YES,YES,33:34,34:16,YES,YES
0,35:17,NO,YES,33:42,31:00,YES,YES
39:00,28:59,YES,YES,34:32,34:59,YES,YES
40:56,37:44,YES,YES,44:27,29:36,YES,YES
33:26,31:58,YES,YES,30:06,7:53,YES,YES
0,28:14,NO,YES,0,26:29,NO,YES
41:25,0,YES,NO,36:57,29:40,YES,YES
38:49,39:51,YES,YES,38:44,22:49,YES,YES
32:47,20:52,YES,YES,35:50,0,YES,NO
Did Not Dress,36:25,YES,YES,0,Did Not Dress,NO,YES
35:32,33:04,YES,YES,22:21,36:15,YES,YES
35:47,0,YES,NO,Did Not Play,32:04,YES,YES
34:43,29:51,YES,YES,28:02,28:40,YES,YES
29:38,26:02,YES,YES,28:00,38:27,YES,YES
36:32,31:02,YES,YES,36:46,32:18,YES,YES
35:58,9:07,YES,YES,40:27,35:12,YES,YES
36:29,36:01,YES,YES,29:51,30:24,YES,YES
36:58,22:35,YES,YES,33:25,11:08,YES,YES
37:38,45:33,YES,YES,38:28,31:09,YES,YES
37:54,34:52,YES,YES,0,34:02,NO,YES
29:26,0,YES,NO,35:29,38:40,YES,YES
Did Not Dress,21:43,YES,YES,32:20,36:51,YES,YES
28:24,0,YES,NO,29:54,0,YES,NO
25:24,36:20,YES,YES,26:42,25:36,YES,YES
0,Did Not Play,NO,YES,37:41,34:14,YES,YES
38:41,Did Not Play,YES,YES,32:18,Did Not Play,YES,YES
41:13,0,YES,NO,35:37,35:43,YES,YES
40:19,35:08,YES,YES,36:55,34:45,YES,YES
28:50,0,YES,NO,0,23:28,NO,YES
22:31,25:50,YES,YES,25:16,27:56,YES,YES
30:15,32:00,YES,YES,26:36,0,YES,NO
25:34,31:13,YES,YES,22:18,21:04,YES,YES
39:36,27:36,YES,YES,32:52,31:05,YES,YES
0,32:30,NO,YES,0,Did Not Play,NO,YES
39:03,0,YES,NO,28:25,33:07,YES,YES
0,24:58,NO,YES,16:42,31:52,YES,YES
29:00,0,YES,NO,0,24:10,NO,YES
15:39,26:07,YES,YES,34:42,0,YES,NO
33:44,0,YES,NO,27:56,27:32,YES,YES
34:31,26:55,YES,YES,33:06,34:16,YES,YES
33:35,34:48,YES,YES,35:15,31:33,YES,YES
27:01,29:54,YES,YES,Did Not Play,34:05,YES,YES
33:23,14:37,YES,YES,36:12,33:50,YES,YES
33:20,27:02,YES,YES,0,27:38,NO,YES
0,34:38,NO,YES,26:29,34:35,YES,YES
Did Not Dress,29:16,YES,YES,0,34:33,NO,YES
Did Not Play,38:45,YES,YES,34:21,0,YES,NO
30:11,24:09,YES,YES,37:06,37:08,YES,YES
13:14,35:30,YES,YES,33:39,41:46,YES,YES
39:53,32:15,YES,YES,38:07,22:27,YES,YES
30:08,0,YES,NO,33:02,0,YES,NO
15:17,38:15,YES,YES,0,27:34,NO,YES
0,Did Not Play,NO,YES,25:30,24:09,YES,YES
33:17,0,YES,NO,32:26,29:54,YES,YES
10:50,27:51,YES,YES,34:38,0,YES,NO
29:48,24:26,YES,YES,27:47,33:03,YES,YES
35:20,37:37,YES,YES,32:49,15:11,YES,YES
37:06,34:53,YES,YES,32:26,33:25,YES,YES
40:34,38:44,YES,YES,37:37,31:29,YES,YES
0,0,NO,NO,35:49,0,YES,NO
0,32:30,NO,YES,Did Not Play,37:22,YES,YES
31:40,0,YES,NO,32:45,17:38,YES,YES
21:54,35:45,YES,YES,42:13,34:23,YES,YES
26:17,0,YES,NO,0,25:19,NO,YES
34:25,33:17,YES,YES,29:25,25:50,YES,YES
35:14,35:37,YES,YES,31:46,26:47,YES,YES
32:44,35:44,YES,YES,27:36,31:57,YES,YES
25:26,26:04,YES,YES,28:29,27:34,YES,YES
32:10,12:02,YES,YES,35:30,38:06,YES,YES
0,Did Not Play,NO,YES,34:33,34:59,YES,YES
42:20,33:59,YES,YES,28:01,34:57,YES,YES
Did Not Play,38:27,YES,YES,38:37,11:35,YES,YES
34:44,34:24,YES,YES,24:47,38:45,YES,YES
0,34:28,NO,YES,35:01,0,YES,NO
40:09,0,YES,NO,41:23,0,YES,NO
31:14,34:00,YES,YES,23:52,31:21,YES,YES
30:04,25:33,YES,YES,25:43,26:33,YES,YES
36:30,0,YES,NO,Did Not Play,35:53,YES,YES
