,code,acrv,acrh
836,202002220ATL,DAL,ATL
837,202002220CHI,PHO,CHI
838,202002220MIA,CLE,MIA
839,202002220MIL,PHI,MIL
840,202002220UTA,HOU,UTA
841,202002230LAL,BOS,LAL
842,202002230DEN,MIN,DEN
843,202002230TOR,IND,TOR
844,202002230CHI,WAS,CHI
845,202002230OKC,SAS,OKC
846,202002230GSW,NOP,GSW
847,202002230POR,DET,POR
848,202002240CLE,MIA,CLE
849,202002240PHI,ATL,PHI
850,202002240WAS,MIL,WAS
851,202002240BRK,ORL,BRK
852,202002240HOU,NYK,HOU
853,202002240DAL,MIN,DAL
854,202002240UTA,PHO,UTA
855,202002240LAC,MEM,LAC
856,202002250IND,CHO,IND
857,202002250TOR,MIL,TOR
858,202002250CHI,OKC,CHI
859,202002250DEN,DET,DEN
860,202002250LAL,NOP,LAL
861,202002250POR,BOS,POR
862,202002250GSW,SAC,GSW
863,202002260CHO,NYK,CHO
864,202002260CLE,PHI,CLE
865,202002260WAS,BRK,WAS
866,202002260ATL,ORL,ATL
867,202002260MIA,MIN,MIA
868,202002260HOU,MEM,HOU
869,202002260SAS,DAL,SAS
870,202002260PHO,LAC,PHO
871,202002260UTA,BOS,UTA
872,202002270PHI,NYK,PHI
873,202002270IND,POR,IND
874,202002270OKC,SAC,OKC
875,202002270GSW,LAL,GSW
876,202002280ORL,MIN,ORL
877,202002280ATL,BRK,ATL
878,202002280TOR,CHO,TOR
879,202002280MEM,SAC,MEM
880,202002280MIA,DAL,MIA
881,202002280MIL,OKC,MIL
882,202002280NOP,CLE,NOP
883,202002280PHO,DET,PHO
884,202002280UTA,WAS,UTA
885,202002280LAC,DEN,LAC
886,202002290NYK,CHI,NYK
887,202002290ATL,POR,ATL
888,202002290MIA,BRK,MIA
889,202002290CLE,IND,CLE
890,202002290MEM,LAL,MEM
891,202002290BOS,HOU,BOS
892,202002290SAS,ORL,SAS
893,202002290PHO,GSW,PHO
894,202003010CHO,MIL,CHO
895,202003010LAC,PHI,LAC
896,202003010MIN,DAL,MIN
897,202003010DEN,TOR,DEN
898,202003010SAC,DET,SAC
899,202003010NOP,LAL,NOP
900,202003010GSW,WAS,GSW
901,202003020CLE,UTA,CLE
902,202003020NYK,HOU,NYK
903,202003020ORL,POR,ORL
904,202003020ATL,MEM,ATL
905,202003020MIA,MIL,MIA
906,202003020CHI,DAL,CHI
907,202003020SAS,IND,SAS
908,202003030CHO,SAS,CHO
909,202003030BOS,BRK,BOS
910,202003030NOP,MIN,NOP
911,202003030OKC,LAC,OKC
912,202003030DEN,GSW,DEN
913,202003030PHO,TOR,PHO
914,202003030LAL,PHI,LAL
915,202003030SAC,WAS,SAC
916,202003040CLE,BOS,CLE
917,202003040DET,OKC,DET
918,202003040MIL,IND,MIL
919,202003040BRK,MEM,BRK
920,202003040MIA,ORL,MIA
921,202003040NYK,UTA,NYK
922,202003040MIN,CHI,MIN
923,202003040DAL,NOP,DAL
924,202003040POR,WAS,POR
925,202003050CHO,DEN,CHO
926,202003050HOU,LAC,HOU
927,202003050SAC,PHI,SAC
928,202003050GSW,TOR,GSW
929,202003060WAS,ATL,WAS
930,202003060BRK,SAS,BRK
931,202003060NYK,OKC,NYK
932,202003060BOS,UTA,BOS
933,202003060CHI,IND,CHI
934,202003060MIN,ORL,MIN
935,202003060NOP,MIA,NOP
936,202003060DAL,MEM,DAL
937,202003060PHO,POR,PHO
938,202003060LAL,MIL,LAL
939,202003070CHO,HOU,CHO
940,202003070DET,UTA,DET
941,202003070CLE,DEN,CLE
942,202003070MEM,ATL,MEM
943,202003070GSW,PHI,GSW
944,202003070POR,SAC,POR
945,202003080BRK,CHI,BRK
946,202003080LAC,LAL,LAC
947,202003080MIN,NOP,MIN
948,202003080BOS,OKC,BOS
949,202003080PHO,MIL,PHO
950,202003080DAL,IND,DAL
951,202003080HOU,ORL,HOU
952,202003080WAS,MIA,WAS
953,202003080CLE,SAS,CLE
954,202003080NYK,DET,NYK
955,202003080SAC,TOR,SAC
956,202003090ATL,CHO,ATL
957,202003090DEN,MIL,DEN
958,202003090UTA,TOR,UTA
959,202003100IND,BOS,IND
960,202003100WAS,NYK,WAS
961,202003100CHI,CLE,CHI
962,202003100HOU,MIN,HOU
963,202003100MEM,ORL,MEM
964,202003100SAS,DAL,SAS
965,202003100POR,PHO,POR
966,202003100GSW,LAC,GSW
967,202003100LAL,BRK,LAL
968,202003110PHI,DET,PHI
969,202003110ATL,NYK,ATL
970,202003110MIA,CHO,MIA
971,202003110DAL,DEN,DAL
