"iteration","logistic_acc","logistic_profit","logistic_utility_profit","gbm_acc","gbm_profit","gbm_utility_profit","rf_acc","rf_profit","rf_utility_profit","ann_acc","ann_profit","ann_utility_profit"
0,0.574257425742574,516.745789317754,516.745789317754,0.623762376237624,-95.8089124746838,982.524420858649,0.673267326732673,-190.706211363248,2490.67900977741,0.534653465346535,-380.891468381406,1638.08552180534
1,0.554455445544555,-422.504755344555,-322.504755344555,0.564356435643564,-1353.62276528854,-1260.2894319552,0.633663366336634,-1326.444433925,2593.54193632454,0.564356435643564,289.057915519416,1484.36670036912
2,0.554455445544555,-421.222704062503,-421.222704062503,0.603960396039604,-688.026988516288,-55.6740473398178,0.633663366336634,-933.247689492961,2647.21467260598,0.564356435643564,290.339966801468,1384.36670036912
3,0.564356435643564,-14.2535163874319,-14.2535163874319,0.633663366336634,18.8637677862322,-414.787025864562,0.613861386138614,-1370.72387996915,2490.9228887055,0.584158415841584,545.249409210911,1641.2072530153
4,0.603960396039604,571.986903599118,571.986903599118,0.603960396039604,-664.664760742297,-334.664760742297,0.613861386138614,-1225.12695225458,2578.57766506737,0.594059405940594,727.155353616855,1739.15506015748
5,0.603960396039604,536.021991318417,536.021991318417,0.623762376237624,-394.836022229346,10.1639777706542,0.603960396039604,-1699.25432952127,2645.56632095763,0.594059405940594,691.190441336154,1403.91843919331
6,0.594059405940594,402.688657985084,402.688657985084,0.643564356435644,-90.3468447401688,653.560037850925,0.633663366336634,-922.731538586715,2612.85410563671,0.594059405940594,625.705463351177,1866.41881132284
7,0.584158415841584,286.021991318417,286.021991318417,0.613861386138614,-536.102741301693,547.23059203164,0.623762376237624,-1174.47529695963,2238.12788591049,0.584158415841584,509.03879668451,1866.41881132284
8,0.584158415841584,256.610226612534,256.610226612534,0.643564356435644,57.1336747403511,651.578119184795,0.613861386138614,-1244.22496340089,2425.00355039485,0.584158415841584,509.03879668451,1271.97436687839
9,0.584158415841584,174.388004390312,174.388004390312,0.584158415841584,-1203.29922569255,-136.026498419822,0.623762376237624,-1225.12590239284,2240.92947632078,0.594059405940594,691.695491841205,1486.52348121011
10,0.554455445544555,-283.707233704926,-283.707233704926,0.643564356435644,42.8234860183972,747.096668975791,0.663366336633663,-753.502713987046,2557.15487732879,0.574257425742574,162.621417767131,1359.25612982512
11,0.574257425742574,-223.133363131055,-223.133363131055,0.643564356435644,-137.159863964953,-137.159863964953,0.653465346534653,-840.880003364336,2086.82173221304,0.594059405940594,1481.35733889944,1701.47349094273
12,0.574257425742574,-146.466696464388,-146.466696464388,0.584158415841584,-918.872307581422,-168.872307581422,0.633663366336634,-1065.14813173583,1793.82125121256,0.594059405940594,1481.35733889944,1939.7550644417
13,0.554455445544555,-1020.64738116276,-1138.82919934458,0.613861386138614,-623.854541836102,-282.29610027766,0.653465346534653,-579.273754540695,1809.93380532511,0.574257425742574,152.404809756406,1715.28029794647
14,0.485148514851485,-2443.45805088519,-2443.45805088519,0.633663366336634,-254.674779285495,150.1970155863,0.653465346534653,-777.540816345903,1111.28060667191,0.643564356435644,2414.0830900783,1214.45203413867
15,0.574257425742574,-726.037295231918,-726.037295231918,0.643564356435644,-122.518935129651,831.165275396665,0.663366336633663,-553.550492943815,378.786619177923,0.623762376237624,1573.17399916921,473.542943229576
16,0.564356435643564,-841.950561439302,-841.950561439302,0.623762376237624,-205.47485045641,-31.0304060119659,0.693069306930693,-162.498812394908,648.343873517785,0.623762376237624,1573.17399916921,473.542943229576
17,0.574257425742574,-494.238143138648,-494.238143138648,0.643564356435644,120.445228422748,113.778561756081,0.653465346534653,-702.607550000872,1007.37791516052,0.633663366336634,1764.0830900783,773.542943229576
18,0.574257425742574,-501.182587583092,-501.182587583092,0.623762376237624,-237.805910416626,-563.09576548909,0.633663366336634,-1164.64963323733,789.424242424242,0.623762376237624,1573.17399916921,773.542943229576
19,0.574257425742574,-482.327368727873,-482.327368727873,0.603960396039604,-602.412230022945,-892.08084600735,0.643564356435644,-844.617943793874,606.976577367881,0.613861386138614,1454.99218098739,773.542943229576
20,0.574257425742574,-496.393864891556,-496.393864891556,0.643564356435644,145.734351537959,1215.73435153796,0.663366336633663,-574.1275447357,750.454838237446,0.613861386138614,1433.73614234005,673.542943229576
21,0.574257425742574,-434.855403353094,-434.855403353094,0.643564356435644,91.4286572322651,532.570293373902,0.653465346534653,-748.676763552399,487.990563381867,0.613861386138614,1433.73614234005,873.542943229576
22,0.584158415841584,-328.256024471107,-490.756024471107,0.613861386138614,-622.927527929547,-366.631231633251,0.653465346534653,-820.819620695256,743.899654290958,0.623762376237624,1620.69266407918,633.542943229576
23,0.594059405940594,9.43878072369803,9.43878072369803,0.613861386138614,228.765781981154,-48.8657969662139,0.653465346534653,-616.226277205276,918.310428701732,0.623762376237624,1706.60175498827,824.452034138667
24,0.584158415841584,-177.503417539255,-177.503417539255,0.643564356435644,-84.2258048160599,-113.61974421,0.663366336633663,-473.28129947769,447.795758187062,0.613861386138614,1568.86590593166,824.452034138667
25,0.594059405940594,-8.05113069566391,365.948869304336,0.594059405940594,-735.660116977925,-535.660116977925,0.673267326732673,-461.592987789378,1043.89965429096,0.603960396039604,1423.41136047712,724.452034138667
26,0.584158415841584,-229.962895401546,25.0371045984541,0.633663366336634,59.8179945218581,585.824435745691,0.693069306930693,176.227867825596,706.20216659347,0.594059405940594,1293.99959577124,624.452034138667
