"iteration","logistic_acc","logistic_profit","logistic_utility_profit","logistic_sens","logistic_spec","logistic_auc","gbm_acc","gbm_profit","gbm_utility_profit","gbm_sens","gbm_spec","gbm_auc","rf_acc","rf_profit","rf_utility_profit","rf_sens","rf_spec","rf_auc","ann_acc","ann_profit","ann_utility_profit","ann_sens","ann_spec","ann_auc","ann_acc_mlnet","ann_profit_mlnet","ann_utility_profit_mlnet","ann_sens_mlnet","ann_spec_mlnet","ann_auc_mlnet"
0,0.574257425742574,516.745789317754,516.745789317754,0.648148148148148,0.48936170212766,0.540977147360126,0.643564356435644,-164.513093975758,1961.08126064769,0.722222222222222,0.553191489361702,0.704491725768322,0.653465346534653,-578.309980143488,2589.45761484892,0.796296296296296,0.48936170212766,0.706067769897557,0.623762376237624,691.015550415452,246.257348091461,0.703703703703704,0.531914893617021,0.661544523246651,0.584158415841584,1003.48359073203,1708.38900727257,0.481481481481481,0.702127659574468,0.634357762017337
1,0.554455445544555,-422.504755344555,-322.504755344555,0.641509433962264,0.458333333333333,0.551100628930818,0.643564356435644,-54.5130939757578,1432.1923717588,0.716981132075472,0.5625,0.710691823899371,0.613861386138614,-1301.67259791787,2668.73243783083,0.754716981132076,0.458333333333333,0.713050314465409,0.603960396039604,392.634064751358,552.293155660449,0.660377358490566,0.541666666666667,0.616745283018868,0.584158415841584,919.105728398282,1336.29240283496,0.509433962264151,0.666666666666667,0.636792452830189
2,0.554455445544555,-421.222704062503,-421.222704062503,0.641509433962264,0.458333333333333,0.558372641509434,0.663366336633663,232.02105814663,1719.44727371958,0.735849056603774,0.583333333333333,0.708333333333333,0.623762376237624,-1182.33325099029,2646.17351527191,0.773584905660377,0.458333333333333,0.706761006289308,0.613861386138614,-285.529585324056,260.23761044314,0.679245283018868,0.541666666666667,0.665880503144654,0.584158415841584,978.17400400958,78.5603816498271,0.490566037735849,0.6875,0.586477987421384
3,0.564356435643564,-14.2535163874319,-14.2535163874319,0.641509433962264,0.479166666666667,0.553066037735849,0.663366336633663,239.626100163437,1151.55745112388,0.754716981132076,0.5625,0.715408805031447,0.613861386138614,-1402.86673711201,2594.18436957567,0.792452830188679,0.416666666666667,0.707940251572327,0.594059405940594,-406.776351300933,-823.259867784449,0.69811320754717,0.479166666666667,0.624213836477987,0.603960396039604,1388.22488707904,2020.94443550447,0.471698113207547,0.75,0.628930817610063
4,0.603960396039604,571.986903599118,571.986903599118,0.666666666666667,0.531914893617021,0.59338061465721,0.653465346534653,-17.7586375154179,1406.36225592868,0.740740740740741,0.553191489361702,0.716312056737589,0.653465346534653,-648.318701681619,2635.86023756733,0.814814814814815,0.468085106382979,0.704491725768322,0.623762376237624,-349.023974221257,-374.738259935543,0.722222222222222,0.51063829787234,0.617415287628054,0.603960396039604,1429.10608023578,1630.48974107024,0.5,0.723404255319149,0.60441292356186
5,0.603960396039604,536.021991318417,536.021991318417,0.666666666666667,0.531914893617021,0.580772261623326,0.702970297029703,1065.5621644896,1602.95289920354,0.777777777777778,0.617021276595745,0.71946414499606,0.633663366336634,-1075.3928576598,2379.18436957567,0.796296296296296,0.446808510638298,0.703900709219858,0.643564356435644,365.430183242742,943.21527096204,0.722222222222222,0.553191489361702,0.662332545311269,0.623762376237624,1434.52037365503,2004.68179983781,0.5,0.765957446808511,0.634357762017337
6,0.594059405940594,402.688657985084,402.688657985084,0.648148148148148,0.531914893617021,0.567375886524823,0.673267326732673,236.146580074011,1291.90528015592,0.759259259259259,0.574468085106383,0.723404255319149,0.653465346534653,-671.713203980145,2683.98989416381,0.814814814814815,0.468085106382979,0.716115051221434,0.554455445544555,-2061.08672205059,-197.134152880635,0.666666666666667,0.425531914893617,0.63317572892041,0.584158415841584,935.332865146771,948.581372487384,0.481481481481481,0.702127659574468,0.655240346729708
7,0.584158415841584,286.021991318417,286.021991318417,0.641509433962264,0.520833333333333,0.561124213836478,0.633663366336634,-475.043896116465,1230.39734364798,0.754716981132076,0.5,0.718553459119497,0.643564356435644,-869.175388854094,2349.44077983208,0.792452830188679,0.479166666666667,0.712460691823899,0.584158415841584,-1403.98478879642,32.1916817918151,0.679245283018868,0.479166666666667,0.650550314465409,0.584158415841584,1036.57676617328,1481.31538470989,0.452830188679245,0.729166666666667,0.601415094339623
8,0.584158415841584,256.610226612534,256.610226612534,0.641509433962264,0.520833333333333,0.544811320754717,0.643564356435644,-279.80580087837,1697.06401031465,0.754716981132076,0.520833333333333,0.716194968553459,0.643564356435644,-826.423348907682,2537.66263044524,0.792452830188679,0.479166666666667,0.720911949685535,0.663366336633663,435.242511375825,308.926721902141,0.754716981132076,0.5625,0.731525157232704,0.534653465346535,4.84711510539404,541.407449507833,0.433962264150943,0.645833333333333,0.589622641509434
9,0.584158415841584,174.388004390312,174.388004390312,0.648148148148148,0.51063829787234,0.542947202521671,0.663366336633663,-4.88516595773487,1621.19099444163,0.777777777777778,0.531914893617021,0.72301024428684,0.633663366336634,-1001.75481482738,2522.74765813896,0.814814814814815,0.425531914893617,0.709416863672183,0.574257425742574,-73.6585324547849,773.905570109317,0.611111111111111,0.531914893617021,0.605594956658786,0.613861386138614,1916.57676617328,2154.93780803819,0.462962962962963,0.787234042553192,0.631205673758865
