"st3_acc","st3_profit","st3_utility_profit","st3_sens","st3_spec","st3_auc","iteration"
0.673267326732673,164.565049532693,-1017.47964203914,0.666666666666667,0.679245283018868,0.702437106918239,101
0.633663366336634,-724.427764984419,736.602544102543,0.708333333333333,0.566037735849057,0.726808176100629,102
0.643564356435644,-542.395857799059,259.116399007703,0.74468085106383,0.555555555555556,0.720646178092987,103
0.633663366336634,-593.046723554289,743.17373788168,0.702127659574468,0.574074074074074,0.701733648542159,104
0.643564356435644,-453.751635996942,204.963511762248,0.702127659574468,0.592592592592593,0.702521670606777,105
0.633663366336634,-547.545839895511,-216.539724365813,0.723404255319149,0.555555555555556,0.683609141055949,106
0.633663366336634,-594.999407832951,1116.4767944947,0.695652173913043,0.581818181818182,0.66403162055336,107
0.643564356435644,-351.376219427154,2223.53494033368,0.673913043478261,0.618181818181818,0.710276679841897,108
0.663366336633663,-8.83821608352389,1978.88967818841,0.673913043478261,0.654545454545455,0.704743083003953,109
0.653465346534653,-217.659949905258,3102.0722333871,0.673913043478261,0.636363636363636,0.710671936758893,110
0.613861386138614,-791.786509620053,2748.51784308306,0.608695652173913,0.618181818181818,0.694071146245059,111
0.623762376237624,-450.556642584559,2687.85548417035,0.608695652173913,0.636363636363636,0.660079051383399,112
0.613861386138614,-595.859672887589,2100.4643756384,0.565217391304348,0.654545454545455,0.681422924901186,113
0.594059405940594,-946.838508866425,2161.30978626642,0.553191489361702,0.62962962962963,0.678486997635934,114
0.633663366336634,-332.171549416858,3113.41302031612,0.604166666666667,0.660377358490566,0.674921383647799,115
0.633663366336634,-224.07631132162,2063.17842085244,0.625,0.641509433962264,0.665094339622642,116
0.613861386138614,-691.029525039539,1501.70378416041,0.591836734693878,0.634615384615385,0.658555729984301,117
0.613861386138614,-630.208269000892,1181.43689962882,0.583333333333333,0.641509433962264,0.669025157232704,118
0.594059405940594,-1081.20028021029,2305.72945274558,0.530612244897959,0.653846153846154,0.665620094191523,119
0.653465346534653,185.266771256757,2632.56644300694,0.612244897959184,0.692307692307692,0.673861852433281,120
0.623762376237624,-455.124093916717,2252.07865909479,0.591836734693878,0.653846153846154,0.66287284144427,121
0.613861386138614,-675.004994015009,3085.46375226249,0.551020408163265,0.673076923076923,0.680533751962323,122
0.633663366336634,-446.790760583383,2359.92812146038,0.62,0.647058823529412,0.690980392156863,123
0.643564356435644,-273.839822632446,2323.50723052336,0.63265306122449,0.653846153846154,0.691130298273155,124
0.643564356435644,-144.276382851613,2795.52335955562,0.612244897959184,0.673076923076923,0.697802197802198,125
0.623762376237624,-642.319861112483,3002.36851416725,0.612244897959184,0.634615384615385,0.675039246467818,126
0.623762376237624,-546.248432541054,2691.0769755931,0.612244897959184,0.634615384615385,0.669937205651491,127
0.623762376237624,-575.247211539834,2467.40412670286,0.591836734693878,0.653846153846154,0.682103610675039,128
0.613861386138614,-596.290982583605,1715.88238757243,0.56,0.666666666666667,0.677647058823529,129
0.643564356435644,-69.0699105799249,1643.71991617655,0.588235294117647,0.7,0.685490196078431,130
0.633663366336634,-602.779213587965,1636.67022673555,0.647058823529412,0.62,0.673725490196078,131
0.603960396039604,-873.616635425387,1657.57273002936,0.568627450980392,0.64,0.65921568627451,132
0.613861386138614,-860.853287662039,1929.32572362446,0.607843137254902,0.62,0.685882352941176,133
0.643564356435644,-420.415577224329,1613.07031236905,0.647058823529412,0.64,0.696470588235294,134
0.633663366336634,-693.510815319567,1618.05347735221,0.615384615384615,0.653061224489796,0.693485086342229,135
0.623762376237624,-882.102263911016,1239.17446163109,0.615384615384615,0.63265306122449,0.697802197802198,136
0.623762376237624,-775.777107585859,1020.59822305485,0.596153846153846,0.653061224489796,0.700941915227629,137
0.623762376237624,-649.216261025013,2921.20691028825,0.566037735849057,0.6875,0.706761006289308,138
0.574257425742574,-1645.20795238755,976.271993946016,0.566037735849057,0.583333333333333,0.680817610062893,139
0.653465346534653,-260.394287791276,2165.86529538142,0.62962962962963,0.680851063829787,0.725374310480693,140
0.663366336633663,-179.586631395383,2500.46616954751,0.648148148148148,0.680851063829787,0.719858156028369,141
0.653465346534653,-344.651566460318,2169.40383391996,0.641509433962264,0.666666666666667,0.72248427672956,142
0.633663366336634,-614.995481804234,2560.70426478561,0.584905660377358,0.6875,0.726022012578616,143
0.663366336633663,-92.470229278982,3515.90034321698,0.634615384615385,0.693877551020408,0.733516483516483,144
0.623762376237624,-807.232134040886,3442.96674465679,0.615384615384615,0.63265306122449,0.712715855572998,145
0.643564356435644,-364.995481804235,3352.41647369663,0.615384615384615,0.673469387755102,0.720565149136578,146
0.643564356435644,-369.863459830107,3446.42623099145,0.634615384615385,0.653061224489796,0.700941915227629,147
0.633663366336634,-690.95507776383,3758.76174864872,0.634615384615385,0.63265306122449,0.701726844583987,148
0.623762376237624,-997.91159950296,2852.81704818789,0.622641509433962,0.625,0.704795597484277,149
