"logistic_acc_b","logistic_profit_b","logistic_utility_profit_b","logistic_sens_b","logistic_spec_b","logistic_auc_b","gbm_acc_b","gbm_profit_b","gbm_utility_profit_b","gbm_sens_b","gbm_spec_b","gbm_auc_b","rf_acc_b","rf_profit_b","rf_utility_profit_b","rf_sens_b","rf_spec_b","rf_auc_b","iteration","ann_acc_b","ann_profit_b","ann_utility_profit_b","ann_sens_b","ann_spec_b","ann_auc_b"
0.613861386138614,-1653.94761701642,-49.3977030594681,0.722222222222222,0.48936170212766,0.695035460992908,0.594059405940594,-425.930640576167,-90.4095603492038,0.648148148148148,0.531914893617021,0.576044129235619,0.564356435643564,-1858.02610388902,-924.618787940786,0.648148148148148,0.468085106382979,0.644011032308905,0,0.613861386138614,-1307.95788973378,-3.00066966630497,0.666666666666667,0.553191489361702,0.67612293144208
0.613861386138614,-1605.12408760465,-90.574173647703,0.716981132075472,0.5,0.691823899371069,0.554455445544555,-950.346224991751,102.238347298704,0.622641509433962,0.479166666666667,0.574292452830189,0.564356435643564,-1626.34260220552,-1269.61878794079,0.641509433962264,0.479166666666667,0.628930817610063,1,0.594059405940594,-1883.0007718752,-1182.37085510871,0.754716981132076,0.416666666666667,0.668238993710692
0.613861386138614,-1603.8420363226,26.092493018964,0.716981132075472,0.5,0.692216981132076,0.613861386138614,-68.3234046748127,-245.216707450468,0.69811320754717,0.520833333333333,0.587264150943396,0.574257425742574,-1450.98647684939,-1403.84955717156,0.641509433962264,0.5,0.637775157232704,2,0.603960396039604,-1708.86010346208,-950.827603601935,0.735849056603774,0.458333333333333,0.672169811320755
0.613861386138614,-1651.46108394165,-21.526554600083,0.716981132075472,0.5,0.695754716981132,0.524752475247525,-1633.18309400509,-474.148006285791,0.622641509433962,0.416666666666667,0.563286163522013,0.584158415841584,-1302.20192806485,-1617.23783555983,0.660377358490566,0.5,0.633058176100629,3,0.584158415841584,-2105.09534396977,-910.517203547961,0.754716981132076,0.395833333333333,0.672169811320755
0.613861386138614,-1653.8458216205,-150.938319305965,0.722222222222222,0.48936170212766,0.693853427895981,0.534653465346535,-775.50675074051,-757.663613485609,0.611111111111111,0.446808510638298,0.553585500394011,0.554455445544555,-1832.72236446763,-1517.23783555983,0.666666666666667,0.425531914893617,0.616233254531127,4,0.603960396039604,-1466.67962374963,-973.831701379689,0.666666666666667,0.531914893617021,0.669818754925138
0.613861386138614,-1689.8107339012,-143.438319305965,0.722222222222222,0.48936170212766,0.696217494089834,0.534653465346535,-1333.41971496926,-338.895905445454,0.62962962962963,0.425531914893617,0.559889676910953,0.564356435643564,-1698.42923590206,-934.869414507201,0.666666666666667,0.446808510638298,0.625886524822695,5,0.594059405940594,-1722.40644079224,-1188.68516164491,0.685185185185185,0.48936170212766,0.674940898345154
0.613861386138614,-1700.41679450726,56.561680694035,0.722222222222222,0.48936170212766,0.69779353821907,0.564356435643564,-792.061563316994,482.922276372729,0.666666666666667,0.446808510638298,0.571710007880221,0.564356435643564,-1694.95025301131,-1247.14214177993,0.648148148148148,0.468085106382979,0.63140267927502,6,0.594059405940594,-1733.0125013983,-1288.68516164491,0.685185185185185,0.48936170212766,0.67612293144208
0.613861386138614,-1630.1269394348,39.895014027368,0.716981132075472,0.5,0.693396226415094,0.554455445544555,-952.069253836193,-469.645011411952,0.641509433962264,0.458333333333333,0.582940251572327,0.574257425742574,-1465.83686852708,-1029.5146243698,0.641509433962264,0.5,0.632272012578616,7,0.613861386138614,-1068.0937338913,18.4850015252491,0.660377358490566,0.5625,0.673349056603774
0.613861386138614,-1630.1269394348,281.751074633429,0.716981132075472,0.5,0.694575471698113,0.584158415841584,113.143376670554,-632.632024398965,0.660377358490566,0.5,0.579795597484277,0.584158415841584,-1288.91379160401,-951.094710949889,0.660377358490566,0.5,0.635220125786163,8,0.603960396039604,-1471.0937338913,-840.622688170676,0.660377358490566,0.541666666666667,0.676493710691824
0.623762376237624,-1502.34916165702,-7.94589506354102,0.722222222222222,0.51063829787234,0.69779353821907,0.584158415841584,72.0120635392412,-352.010090777031,0.666666666666667,0.48936170212766,0.584712371946414,0.554455445544555,-1880.95669423514,-859.745504600682,0.648148148148148,0.446808510638298,0.631993695823483,9,0.603960396039604,-1800.51570100003,-1362.04118477903,0.759259259259259,0.425531914893617,0.67612293144208
0.623762376237624,-1519.50602440212,53.720771603126,0.722222222222222,0.51063829787234,0.701733648542159,0.564356435643564,-935.695072462013,-1009.43923679441,0.611111111111111,0.51063829787234,0.573680063041765,0.564356435643564,-1811.83010010855,-833.237568092746,0.666666666666667,0.446808510638298,0.641449960598897,10,0.603960396039604,-1700.47281885862,-251.995694249563,0.666666666666667,0.531914893617021,0.683215130023641
0.633663366336634,-1404.12140901751,-196.582258699904,0.735849056603774,0.520833333333333,0.716981132075472,0.574257425742574,163.155390800215,-506.821299176475,0.660377358490566,0.479166666666667,0.572720125786163,0.584158415841584,-1473.64086191931,-573.896908752086,0.660377358490566,0.5,0.658805031446541,11,0.594059405940594,-2052.11959819217,-821.220572773002,0.773584905660377,0.395833333333333,0.696933962264151
0.623762376237624,-1537.45474235084,478.720771603126,0.735849056603774,0.5,0.71187106918239,0.574257425742574,14.9837074111412,-575.31932289189,0.679245283018868,0.458333333333333,0.586084905660377,0.574257425742574,-1819.94716822562,-1247.99947285465,0.679245283018868,0.458333333333333,0.650746855345912,12,0.594059405940594,-1889.85010823591,-812.014928426692,0.679245283018868,0.5,0.688286163522013
0.633663366336634,-1354.12140901751,256.751074633429,0.735849056603774,0.520833333333333,0.714622641509434,0.623762376237624,967.75063868958,201.773217418041,0.679245283018868,0.5625,0.593946540880503,0.574257425742574,-1599.39843767689,-883.237568092746,0.660377358490566,0.479166666666667,0.656053459119497,13,0.603960396039604,-1706.51677490257,292.246729992861,0.679245283018868,0.520833333333333,0.702044025157233
