"ann_acc","ann_profit","ann_utility_profit","ann_sens","ann_spec","ann_auc"
0.623762376237624,691.015550415452,246.257348091461,0.703703703703704,0.531914893617021,0.661544523246651
0.603960396039604,392.634064751358,552.293155660449,0.660377358490566,0.541666666666667,0.616745283018868
0.613861386138614,-285.529585324056,260.23761044314,0.679245283018868,0.541666666666667,0.665880503144654
0.594059405940594,-406.776351300933,-823.259867784449,0.69811320754717,0.479166666666667,0.624213836477987
0.623762376237624,-349.023974221257,-374.738259935543,0.722222222222222,0.51063829787234,0.617415287628054
0.643564356435644,365.430183242742,943.21527096204,0.722222222222222,0.553191489361702,0.662332545311269
0.554455445544555,-2061.08672205059,-197.134152880635,0.666666666666667,0.425531914893617,0.63317572892041
0.584158415841584,-1403.98478879642,32.1916817918151,0.679245283018868,0.479166666666667,0.650550314465409
0.663366336633663,435.242511375825,308.926721902141,0.754716981132076,0.5625,0.731525157232704
0.574257425742574,-73.6585324547849,773.905570109317,0.611111111111111,0.531914893617021,0.605594956658786
0.603960396039604,-1009.71514925124,-406.541907398753,0.666666666666667,0.531914893617021,0.637509850275808
0.633663366336634,-525.388934473013,-682.53179161587,0.716981132075472,0.541666666666667,0.674921383647799
0.653465346534653,1027.99011252059,199.830363772601,0.716981132075472,0.583333333333333,0.637971698113208
0.663366336633663,147.149281076713,-80.2104414684308,0.754716981132076,0.5625,0.660770440251572
0.633663366336634,418.81213726003,38.7967140867111,0.673076923076923,0.591836734693878,0.669937205651491
0.594059405940594,-893.964153810699,-1279.71354331009,0.69811320754717,0.479166666666667,0.612028301886792
0.623762376237624,-700.319368583012,-1036.35832962197,0.679245283018868,0.5625,0.676493710691824
0.574257425742574,-952.54635063164,-754.92274616593,0.60377358490566,0.541666666666667,0.601415094339623
0.574257425742574,-1133.52956658079,-266.767206134214,0.622641509433962,0.520833333333333,0.58687106918239
0.544554455445545,-1047.68849893168,-1021.39220263539,0.60377358490566,0.479166666666667,0.578616352201258
0.643564356435644,-265.815007599635,-51.384043826566,0.735849056603774,0.541666666666667,0.659198113207547
0.584158415841584,-1124.10026815238,-514.115860667968,0.62962962962963,0.531914893617021,0.613869188337273
0.554455445544555,-1428.40505722287,-1812.10253621446,0.648148148148148,0.446808510638298,0.596138691883373
0.633663366336634,19.8067291517821,-566.314938878876,0.62962962962963,0.638297872340426,0.64736012608353
